Sample	Name	Strain	Treatment	Block	Compound	Compound_name	M	Type	Std_conc	RT	Area	ng.mL_QuanLynx	ng.mL_adj	uMol
29	20191210_LT_LMI15_Ctrl	LMI15	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
30	20191210_LT_LMX7_DIMBOA	LMX7	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
31	20191210_LT_LMX7_DG	LMX7	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
32	20191210_LT_LMX7_MBOA	LMX7	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
33	20191210_LT_LMX7_Ctrl	LMX7	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
34	20191210_LT_LST16_DIMBOA	LST16	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
35	20191210_LT_LST16_DG	LST16	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
36	20191210_LT_LST16_MBOA	LST16	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
37	20191210_LT_LST16_Ctrl	LST16	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
38	20191210_LT_LMR1_DIMBOA	LMR1	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
39	20191210_LT_LMR1_DG	LMR1	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
40	20191210_LT_LMR1_MBOA	LMR1	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
41	20191210_LT_LMR1_Ctrl	LMR1	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
42	20191210_LT_LPB4-O_DIMBOA	LPB4-O	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
43	20191210_LT_LPB4-O_MBOA	LPB4-O	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
44	20191210_LT_LPB4-O_Ctrl	LPB4-O	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
45	20191210_LT_LPB4-O_DG	LPB4-O	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
46	20191210_LT_LMN1_DIMBOA	LMN1	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
47	20191210_LT_LMN1_MBOA	LMN1	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
48	20191210_LT_LMN1_Ctrl	LMN1	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
49	20191210_LT_LMN1_DG	LMN1	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
50	20191210_LT_LST14_DIMBOA	LST14	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
51	20191210_LT_LST14_MBOA	LST14	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
52	20191210_LT_LST14_Ctrl	LST14	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
53	20191210_LT_LST14_DG	LST14	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
54	20191210_LT_LMM1_DIMBOA	LMM1	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
55	20191210_LT_LMM1_MBOA	LMM1	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
56	20191210_LT_LMM1_Ctrl	LMM1	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
57	20191210_LT_LMM1_DG	LMM1	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
58	20191210_LT_LBA3_DIMBOA	LBA3	DIMBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
59	20191210_LT_LBA3_MBOA	LBA3	MBOA	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
60	20191210_LT_LBA3_Ctrl	LBA3	Ctrl	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
61	20191210_LT_LBA3_DG	LBA3	DG	2	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
1	20191210_LT_LMI1_MBOA_02	LMI1	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
2	20191210_LT_LST13_MBOA	LST13	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
3	20191210_LT_LST13_Ctrl	LST13	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
4	20191210_LT_LST13_DG	LST13	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
5	20191210_LT_LST13_DIMBOA	LST13	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
6	20191210_LT_NBC_MBOA	NBC	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
7	20191210_LT_NBC_Ctrl	NBC	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
8	20191210_LT_NBC_DG	NBC	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	2.54	2.172	7.4	1.842607447	0.00476003
9	20191210_LT_NBC_DIMBOA	NBC	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
10	20191210_LT_LAC11_MBOA	LAC11	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
11	20191210_LT_LAC11_Ctrl	LAC11	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
12	20191210_LT_LAC11_DG	LAC11	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
13	20191210_LT_LAC11_DIMBOA	LAC11	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
14	20191210_LT_LPD2_MBOA	LPD2	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
15	20191210_LT_LPD2_Ctrl	LPD2	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
16	20191210_LT_LPD2_DG	LPD2	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
17	20191210_LT_LPD2_DIMBOA	LPD2	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
18	20191210_LT_LMJ1_MBOA	LMJ1	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
19	20191210_LT_LMJ1_Ctrl	LMJ1	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
20	20191210_LT_LMJ1_DG	LMJ1	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	2.55	2.189	7.4	1.857029328	0.004797286
21	20191210_LT_LMJ1_DIMBOA	LMJ1	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
22	20191210_LT_LMI11_DIMBOA	LMI11	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
23	20191210_LT_LMI11_DG	LMI11	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
24	20191210_LT_LMI11_MBOA	LMI11	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
25	20191210_LT_LMI11_Ctrl	LMI11	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
26	20191210_LT_LMG2_DIMBOA	LMG2	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
27	20191210_LT_LMG2_DG	LMG2	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
28	20191210_LT_LMG2_MBOA	LMG2	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
29	20191210_LT_LMG2_Ctrl	LMG2	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
30	20191210_LT_LPB4-R_DIMBOA	LPB4-R	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
31	20191210_LT_LPB4-R_DG	LPB4-R	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
32	20191210_LT_LPB4-R_MBOA	LPB4-R	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
33	20191210_LT_LPB4-R_Ctrl	LPB4-R	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
34	20191210_LT_LMC1_DIMBOA	LMC1	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
35	20191210_LT_LMC1_DG	LMC1	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
36	20191210_LT_LMC1_MBOA	LMC1	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
37	20191210_LT_LMC1_Ctrl	LMC1	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
38	20191210_LT_LMC3_DIMBOA	LMC3	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
39	20191210_LT_LMC3_DG	LMC3	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
40	20191210_LT_LMC3_MBOA	LMC3	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
41	20191210_LT_LMC3_Ctrl	LMC3	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
42	20191210_LT_LMX11_DIMBOA	LMX11	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
43	20191210_LT_LMX11_MBOA	LMX11	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
44	20191210_LT_LMX11_Ctrl	LMX11	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
45	20191210_LT_LMX11_DG	LMX11	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
46	20191210_LT_LST12_DIMBOA	LST12	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
47	20191210_LT_LST12_MBOA	LST12	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
48	20191210_LT_LST12_Ctrl	LST12	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
49	20191210_LT_LST12_DG	LST12	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
50	20191210_LT_LMI12_DIMBOA	LMI12	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
51	20191210_LT_LMI12_MBOA	LMI12	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
52	20191210_LT_LMI12_Ctrl	LMI12	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
53	20191210_LT_LMI12_DG	LMI12	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
54	20191210_LT_LSP13_DIMBOA	LSP13	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
55	20191210_LT_LSP13_MBOA	LSP13	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
56	20191210_LT_LSP13_Ctrl	LSP13	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
57	20191210_LT_LSP13_DG	LSP13	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
58	20191210_LT_LRH8-O_DIMBOA	LRH8-O	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
59	20191210_LT_LRH8-O_MBOA	LRH8-O	MBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
60	20191210_LT_LRH8-O_Ctrl	LRH8-O	Ctrl	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
61	20191210_LT_LRH8-O_DG	LRH8-O	DG	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
62	20191210_LT_LMI1_DIMBOA	LMI1	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
63	20191210_LT_LBA112_DIMBOA	LBA112	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
64	20191210_LT_LAR12_DIMBOA	LAR12	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
65	20191210_LT_LRH8_DIMBOA	LRH8	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
66	20191210_LT_LME1_DIMBOA	LME1	DIMBOA	3	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
1	20191211_LT_LMI1_MBOA	LMI1	MBOA	4	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
2	20191211_LT_LMX3_MBOA	LMX3	MBOA	4	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
3	20191211_LT_LMX3_Ctrl	LMX3	Ctrl	4	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
4	20191211_LT_LMX3_DG	LMX3	DG	4	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
5	20191211_LT_LMX3_DIMBOA	LMX3	DIMBOA	4	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
6	20191211_LT_LML1_MBOA	LML1	MBOA	4	1	HDMBOA-Glc	387.1	Analyte	NA	NA	NA	NA	NA	NA
